Set forks.
Created Philos.
Init Complete.
Monitor created.
Monitor_flag = 1
0 1 started
292 4 is eating
292 4 is sleeping
292 3 is thinking
292 3 is eating
292 3 is sleeping
292 2 is thinking
292 2 is eating
292 2 is sleeping
302 1 is thinking
302 1 is eating
302 1 is sleeping
302 4 is thinking
302 4 is eating
302 4 is sleeping
302 3 is thinking
302 3 is eating
302 3 is sleeping
302 2 is thinking
302 2 is eating
302 2 is sleeping
312 1 is thinking
312 1 is eating
312 1 is sleeping
312 4 is thinking
312 4 is eating
312 4 is sleeping
312 3 is thinking
312 3 is eating
312 3 is sleeping
312 2 is thinking
312 2 is eating
312 2 is sleeping
322 1 is thinking
322 1 is eating
322 1 is sleeping
322 4 is thinking
322 4 is eating
322 4 is sleeping
322 3 is thinking
322 3 is eating
322 3 is sleeping
322 2 is thinking
322 2 is eating
322 2 is sleeping
332 1 is thinking
332 1 is eating
332 1 is sleeping
332 4 is thinking
332 4 is eating
332 4 is sleeping
332 3 is thinking
332 3 is eating
332 3 is sleeping
332 2 is thinking
332 2 is eating
332 2 is sleeping
342 4 is thinking
342 4 is eating
342 4 is sleeping
342 1 is thinking
342 1 is eating
342 1 is sleeping
342 3 is thinking
342 3 is eating
342 3 is sleeping
342 2 is thinking
342 2 is eating
342 2 is sleeping
352 4 is thinking
352 4 is eating
352 4 is sleeping
352 1 is thinking
352 1 is eating
352 1 is sleeping
352 3 is thinking
352 3 is eating
352 3 is sleeping
352 2 is thinking
352 2 is eating
352 2 is sleeping
362 4 is thinking
362 4 is eating
362 4 is sleeping
362 1 is thinking
362 1 is eating
362 1 is sleeping
362 3 is thinking
362 3 is eating
362 3 is sleeping
362 2 is thinking
362 2 is eating
362 2 is sleeping
372 4 is thinking
372 4 is eating
372 4 is sleeping
372 1 is thinking
372 1 is eating
372 1 is sleeping
372 3 is thinking
372 3 is eating
372 3 is sleeping
372 2 is thinking
372 2 is eating
372 2 is sleeping
382 4 is thinking
382 4 is eating
382 4 is sleeping
382 1 is thinking
382 1 is eating
382 1 is sleeping
382 3 is thinking
382 3 is eating
382 3 is sleeping
382 2 is thinking
382 2 is eating
382 2 is sleeping
392 4 is thinking
392 4 is eating
392 4 is sleeping
392 1 is thinking
392 1 is eating
392 1 is sleeping
392 3 is thinking
392 3 is eating
392 3 is sleeping
392 2 is thinking
392 2 is eating
392 2 is sleeping
402 4 is thinking
402 4 is eating
402 4 is sleeping
402 1 is thinking
402 1 is eating
402 1 is sleeping
402 3 is thinking
402 3 is eating
402 3 is sleeping
402 2 is thinking
402 2 is eating
402 2 is sleeping
412 4 is thinking
412 4 is eating
412 4 is sleeping
412 1 is thinking
412 1 is eating
412 1 is sleeping
412 3 is thinking
412 3 is eating
412 3 is sleeping
413 2 is thinking
413 2 is eating
413 2 is sleeping
422 4 is thinking
422 4 is eating
422 4 is sleeping
422 1 is thinking
422 1 is eating
422 1 is sleeping
423 3 is thinking
423 3 is eating
423 3 is sleeping
423 2 is thinking
423 2 is eating
423 2 is sleeping
432 4 is thinking
432 4 is eating
432 4 is sleeping
432 1 is thinking
432 1 is eating
432 1 is sleeping
433 3 is thinking
433 3 is eating
433 3 is sleeping
433 2 is thinking
433 2 is eating
433 2 is sleeping
442 4 is thinking
442 4 is eating
442 4 is sleeping
442 1 is thinking
442 1 is eating
442 1 is sleeping
443 3 is thinking
443 3 is eating
443 3 is sleeping
443 2 is thinking
443 2 is eating
443 2 is sleeping
452 4 is thinking
452 4 is eating
452 4 is sleeping
452 1 is thinking
452 1 is eating
452 1 is sleeping
453 3 is thinking
453 3 is eating
453 3 is sleeping
453 2 is thinking
453 2 is eating
453 2 is sleeping
462 4 is thinking
462 4 is eating
462 4 is sleeping
462 1 is thinking
462 1 is eating
462 1 is sleeping
463 3 is thinking
463 3 is eating
463 3 is sleeping
463 2 is thinking
463 2 is eating
463 2 is sleeping
472 4 is thinking
472 4 is eating
472 4 is sleeping
472 1 is thinking
472 1 is eating
472 1 is sleeping
473 3 is thinking
473 3 is eating
473 3 is sleeping
473 2 is thinking
473 2 is eating
473 2 is sleeping
482 4 is thinking
482 4 is eating
482 4 is sleeping
483 1 is thinking
483 1 is eating
483 1 is sleeping
483 3 is thinking
483 3 is eating
483 3 is sleeping
483 2 is thinking
483 2 is eating
483 2 is sleeping
492 4 is thinking
493 4 is eating
493 4 is sleeping
493 1 is thinking
493 1 is eating
493 1 is sleeping
493 3 is thinking
493 3 is eating
493 3 is sleeping
493 2 is thinking
493 2 is eating
493 2 is sleeping
GAMEOVER
503 4 is thinking
503 1 is thinking
503 3 is thinking
503 2 is thinking
